100000,10,IR,2.86900000000001E-6
100000,10,MR,1.133999999999999E-5
100000,100,IR,3.349999999999992E-6
100000,100,MR,1.0632000000000031E-5
100000,1000,IR,2.86015E-4
100000,1000,MR,1.2103799999999996E-4
100000,10000,IR,0.027906348
100000,10000,MR,0.001614276000000002
100000,100000,IR,2.795065717
100000,100000,MR,0.01878152800000006
100000,10,IA,-2.230000000054133E-7
100000,10,MA,7.089999999152496E-7
100000,100,IA,-5.099999998492421E-8
100000,100,MA,5.838000000039756E-6
100000,1000,IA,1.8539999996391997E-6
100000,1000,MA,7.98850000001039E-5
100000,10000,IA,1.995699999952194E-5
100000,10000,MA,9.177029999996193E-4
100000,100000,IA,2.4713100000008125E-4
100000,100000,MA,0.010478072999999767
100000,10,ID,4.500000022744644E-8
100000,10,MD,5.11000000187778E-7
100000,100,ID,6.1240000004545434E-6
100000,100,MD,6.658000000243191E-6
100000,1000,ID,6.209109999999782E-4
100000,1000,MD,7.879800000046088E-5
100000,10000,ID,0.056826606000000085
100000,10000,MD,9.178470000001653E-4
100000,100000,ID,5.600598087000001
100000,100000,MD,0.009824511999999687
